participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P20,A,alpha,1,0.26666666666666666,0.38635683059692383,0.40289559960365295
P20,A,alpha,2,0.26666666666666666,0.4586491664250692,0.41154640913009644
P20,A,alpha,3,0.26666666666666666,0.4360637585322062,0.425140380859375
P20,A,beta,1,0.16666666666666666,0.43617411454518634,0.4504432201385498
P20,A,beta,2,0.13333333333333333,0.5275845766067505,0.49693381786346436
P20,A,beta,3,0.13333333333333333,0.4862337350845337,0.4760040044784546
P20,A,gamma,1,0.26666666666666666,0.6079571882883708,0.5352350175380707
P20,A,gamma,2,0.16666666666666666,0.5236754735310872,0.5155165195465088
P20,A,gamma,3,0.13333333333333333,0.5695926507314046,0.5524372458457947
P20,B,alpha,1,1.0,0.864779535929362,0.864779535929362
P20,B,alpha,2,1.0,0.9054792165756226,0.9054792165756226
P20,B,alpha,3,1.0,0.8667943716049195,0.8667943716049195
P20,B,beta,1,0.8666666666666667,1.1208056170364906,1.1418957435167754
P20,B,beta,2,1.0,1.092691135406494,1.092691135406494
P20,B,beta,3,1.0,0.9363059123357137,0.9363059123357137
P20,B,gamma,1,0.9666666666666667,1.1384904464085897,1.1379884933603222
P20,B,gamma,2,1.0,1.0432939608891805,1.0432939608891805
P20,B,gamma,3,1.0,0.9997021913528442,0.9997021913528442
P20,C,alpha,1,1.0,0.7790069580078125,0.7790069580078125
P20,C,alpha,2,0.9333333333333333,0.6609703381856282,0.6425467985016959
P20,C,alpha,3,1.0,0.6412607749303182,0.6412607749303182
P20,C,beta,1,0.9333333333333333,0.8411523342132569,0.8466732161385673
P20,C,beta,2,1.0,0.7297408262888591,0.7297408262888591
P20,C,beta,3,1.0,0.5918242772420247,0.5918242772420247
P20,C,gamma,1,1.0,0.8040713946024577,0.8040713946024577
P20,C,gamma,2,1.0,0.7840581893920898,0.7840581893920898
P20,C,gamma,3,1.0,0.7103803555170695,0.7103803555170695
